Crimes and Clearances by Offense Type,,,,,
Current date: 12/3/2011 6:01:00 PM (Central Standard Time),,,,,
,Measures,Number of Crimes,Estimated Population,"Crime Rate (per 1,000)",
,Offense Type,Drug/Narcotic Violations,Drug/Narcotic Violations,Drug/Narcotic Violations,
Jurisdiction,Incident Date,,,,
,2008,31,"7,794",3.98,
,2009,53,"7,895",6.71,
,2010,54,"7,861",6.87,
Coffee,2001,202,"48,554",4.16,
,2002,205,"49,013",4.18,
,2003,295,"49,494",5.96,
,2004,363,"49,930",7.27,
,2005,364,"50,637",7.19,
,2006,390,"51,400",7.59,
,2007,453,"51,739",8.76,
,2008,385,"52,134",7.38,
,2009,475,"52,521",9.04,
,2010,644,"52,796",12.2,
Davidson,2001,"2,984","578,527",5.16,
,2002,"3,881","581,978",6.67,
,2003,"4,967","588,126",8.45,
,2004,"5,359","596,961",8.98,
,2005,"6,303","607,413",10.38,
,2006,"5,857","614,609",9.53,
,2007,"7,691","621,384",12.38,
,2008,"7,349","626,144",11.74,
,2009,"7,734","635,710",12.17,
,2010,"7,750","626,681",12.37,
DeKalb,2001,70,"17,533",3.99,
,2002,108,"17,734",6.09,
,2003,120,"17,952",6.68,
,2004,114,"18,147",6.28,
,2005,255,"18,257",13.97,
,2006,131,"18,423",7.11,
,2007,231,"18,588",12.43,
,2008,160,"18,694",8.56,
,2009,142,"18,954",7.49,
,2010,188,"18,723",10.04,
Franklin,2001,336,"39,628",8.48,
,2002,267,"39,964",6.68,
,2003,347,"40,143",8.64,
,2004,258,"40,354",6.39,
,2005,297,"40,529",7.33,
,2006,257,"40,888",6.29,
,2007,229,"41,190",5.56,
,2008,237,"41,165",5.76,
,2009,303,"41,310",7.33,
,2010,247,"41,052",6.02,
Giles,2001,102,"29,559",3.45,
,2002,153,"29,365",5.21,
,2003,164,"29,126",5.63,
,2004,207,"29,048",7.13,
,2005,230,"29,054",7.92,
,2006,215,"29,054",7.4,
,2007,323,"29,011",11.13,
,2008,233,"29,184",7.98,
,2009,176,"29,082",6.05,
,2010,149,"29,485",5.05,
Grundy,2001,36,"14,220",2.53,
,2002,20,"14,256",1.4,
,2003,27,"14,228",1.9,
,2004,32,"14,310",2.24,
,2005,25,"14,330",1.74,
,2006,33,"14,295",2.31,
,2007,41,"14,311",2.86,
,2008,24,"14,220",1.69,
,2009,38,"14,130",2.69,
,2010,37,"13,703",2.7,
Jackson,2001,19,"11,116",1.71,
,2002,30,"11,092",2.7,
,2003,74,"11,079",6.68,
,2004,109,"11,069",9.85,
,2005,77,"10,979",7.01,
,2006,116,"10,841",10.7,
,2007,37,"10,850",3.41,
,2008,68,"10,847",6.27,
,2009,52,"10,875",4.78,
,2010,44,"11,638",3.78,
Lincoln,2001,124,"31,564",3.93,
,2002,116,"31,616",3.67,
,2003,90,"31,746",2.84,
,2004,134,"31,765",4.22,
,2005,115,"32,121",3.58,
,2006,113,"32,434",3.48,
,2007,162,"32,733",4.95,
,2008,183,"33,116",5.53,
,2009,150,"33,374",4.49,
,2010,106,"33,361",3.18,
Macon,2001,73,"20,811",3.51,
,2002,58,"20,771",2.79,
,2003,82,"20,897",3.92,
,2004,82,"21,131",3.88,
,2005,101,"21,236",4.76,
,2006,72,"21,544",3.34,
,2007,94,"21,695",4.33,
,2008,87,"21,838",3.98,
,2009,64,"22,057",2.9,
,2010,80,"22,248",3.6,
Marion,2001,136,"27,822",4.89,
,2002,177,"27,806",6.37,
,2003,154,"27,930",5.51,
,2004,142,"27,737",5.12,
,2005,103,"27,699",3.72,
,2006,131,"27,934",4.69,
,2007,140,"28,019",5,
,2008,154,"28,247",5.45,
,2009,111,"28,068",3.95,
,2010,123,"28,237",4.36,
Marshall,2001,75,"27,132",2.76,
,2002,121,"27,291",4.43,
,2003,72,"27,427",2.63,
,2004,90,"27,776",3.24,
,2005,57,"28,093",2.03,
,2006,67,"28,716",2.33,
,2007,86,"29,382",2.93,
,2008,98,"29,731",3.3,
,2009,60,"30,279",1.98,
,2010,51,"30,617",1.67,
Maury,2001,398,"70,161",5.67,
,2002,368,"71,265",5.16,
,2003,587,"72,754",8.07,
,2004,662,"74,235",8.92,
,2005,637,"75,639",8.42,
,2006,761,"77,860",9.77,
,2007,962,"80,420",11.96,
,2008,851,"81,938",10.39,
,2009,"1,057","84,302",12.54,
,2010,858,"80,956",10.6,
Montgomery,2001,539,"135,712",3.97,
,2002,623,"136,811",4.55,
,2003,732,"138,915",5.27,
,2004,730,"141,464",5.16,
,2005,914,"147,789",6.18,
,2006,"1,031","148,333",6.95,
,2007,"1,125","154,860",7.26,
,2008,867,"154,756",5.6,
,2009,918,"160,978",5.7,
,2010,"1,020","172,331",5.92,
Moore,2001,30,"5,789",5.18,
,2002,15,"5,911",2.54,
,2003,27,"5,857",4.61,
,2004,16,"5,923",2.7,
,2005,5,"5,982",0.84,
,2006,8,"5,985",1.34,
,2007,5,"6,043",0.83,
,2008,6,"6,195",0.97,
,2009,22,"6,096",3.61,
,2010,16,"6,362",2.51,
Putnam,2001,383,"63,227",6.06,
,2002,275,"64,205",4.28,
,2003,373,"65,036",5.74,
,2004,397,"66,037",6.01,
,2005,272,"67,124",4.05,
,2006,360,"68,834",5.23,
,2007,360,"69,933",5.15,
,2008,397,"71,160",5.58,
,2009,379,"72,431",5.23,
,2010,407,"72,321",5.63,
Robertson,2001,290,"55,962",5.18,
,2002,239,"56,954",4.2,
,2003,275,"57,874",4.75,
,2004,246,"58,871",4.18,
,2005,257,"60,019",4.28,
,2006,234,"61,928",3.78,
,2007,263,"63,652",4.13,
,2008,286,"64,898",4.41,
,2009,264,"66,581",3.97,
,2010,233,"66,283",3.52,
Rutherford,2001,"1,299","189,690",6.85,
,2002,"1,171","196,074",5.97,
,2003,"1,503","202,672",7.42,
,2004,"1,505","210,774",7.14,
,2005,"1,643","219,976",7.47,
,2006,"1,540","231,510",6.65,
,2007,"1,734","242,005",7.17,
,2008,"1,145","249,270",4.59,
,2009,"1,415","257,048",5.5,
,2010,"1,408","262,604",5.36,
Sequatchie,2001,52,"11,540",4.51,
,2002,46,"11,772",3.91,
,2003,63,"12,044",5.23,
,2004,14,"12,362",1.13,
,2005,46,"12,710",3.62,
,2006,32,"13,125",2.44,
,2007,40,"13,464",2.97,
,2008,63,"13,580",4.64,
,2009,117,"13,915",8.41,
,2010,74,"14,112",5.24,
Smith,2001,32,"17,962",1.78,
,2002,26,"18,096",1.44,
,2003,40,"18,208",2.2,
,2004,37,"18,263",2.03,
,2005,77,"18,466",4.17,
,2006,46,"18,663",2.46,
,2007,77,"18,857",4.08,
,2008,99,"19,107",5.18,
,2009,65,"19,201",3.39,
,2010,61,"19,166",3.18,
