"Total Arrestees by Weapon Type"
"Current date: 11/21/2011 3:19:08 PM (Central Standard Time)"
,"Measures","Number of Arrestees","Estimated Population","Arrestee Rate (per 1,000)",
,"Arrest Offense for A and B Arrests","Drug/Narcotic Violations","Drug/Narcotic Violations","Drug/Narcotic Violations",
"Jurisdiction","Arrest Date"
"Polk","2001","110","16218","6.78"
,"2002","110","16007","6.87"
,"2003","172","15967","10.77"
,"2004","230","15777","14.58"
,"2005","161","15749","10.22"
,"2006","195","15780","12.36"
,"2007","277","15726","17.61"
,"2008","200","15671","12.76"
,"2009","225","15648","14.38"
,"2010","201","16825","11.95"
"Rhea","2001","193","28578","6.75"
,"2002","141","28829","4.89"
,"2003","202","29178","6.92"
,"2004","155","29358","5.28"
,"2005","182","29764","6.11"
,"2006","159","30249","5.26"
,"2007","223","30565","7.30"
,"2008","249","30781","8.09"
,"2009","256","31516","8.12"
,"2010","265","31809","8.33"
"Roane","2001","356","52044","6.84"
,"2002","423","52094","8.12"
,"2003","380","52404","7.25"
,"2004","540","52624","10.26"
,"2005","474","52556","9.02"
,"2006","270","53084","5.09"
,"2007","286","53309","5.36"
,"2008","338","53430","6.33"
,"2009","255","53508","4.77"
,"2010","298","54181","5.50"
"Scott","2001","194","21450","9.04"
,"2002","214","21532","9.94"
,"2003","220","21460","10.25"
,"2004","234","21546","10.86"
,"2005","193","21681","8.90"
,"2006","169","21820","7.75"
,"2007","151","21948","6.88"
,"2008","221","22039","10.03"
,"2009","222","21866","10.15"
,"2010","197","22228","8.86"
"Sevier","2001","408","73218","5.57"
,"2002","390","74398","5.24"
,"2003","407","75636","5.38"
,"2004","448","77311","5.79"
,"2005","373","79607","4.69"
,"2006","373","82075","4.54"
,"2007","398","83952","4.74"
,"2008","615","84835","7.25"
,"2009","496","86243","5.75"
,"2010","449","89889","5.00"
"Sullivan","2001","559","152421","3.67"
,"2002","468","152605","3.07"
,"2003","525","152392","3.45"
,"2004","568","151601","3.75"
,"2005","734","151974","4.83"
,"2006","763","152505","5.00"
,"2007","963","153500","6.27"
,"2008","875","153900","5.69"
,"2009","791","154552","5.12"
,"2010","881","156823","5.62"
"Unicoi","2001","40","17559","2.28"
,"2002","67","17612","3.80"
,"2003","97","17687","5.48"
,"2004","105","17633","5.95"
,"2005","85","17558","4.84"
,"2006","244","17693","13.79"
,"2007","230","17702","12.99"
,"2008","169","17718","9.54"
,"2009","238","17740","13.42"
,"2010","140","18313","7.64"
"Union","2001","70","18283","3.83"
,"2002","91","18402","4.95"
,"2003","73","18581","3.93"
,"2004","96","18570","5.17"
,"2005","45","18637","2.41"
,"2006","40","18787","2.13"
,"2007","59","18931","3.12"
,"2008","40","19008","2.10"
,"2009","48","19164","2.50"
,"2010","74","19109","3.87"
"Washington","2001","374","107651","3.47"
,"2002","374","109294","3.42"
,"2003","339","110172","3.08"
,"2004","439","111133","3.95"
,"2005","547","112664","4.86"
,"2006","532","114895","4.63"
,"2007","570","116717","4.88"
,"2008","509","118639","4.29"
,"2009","506","120598","4.20"
,"2010","489","122979","3.98"
"Bedford","2001","94","38538","2.44"
,"2002","141","39185","3.60"
,"2003","154","40002","3.85"
,"2004","151","40981","3.68"
,"2005","138","42147","3.27"
,"2006","150","43444","3.45"
,"2007","168","44531","3.77"
,"2008","147","44696","3.29"
,"2009","205","45947","4.46"
,"2010","173","45058","3.84"
"Bledsoe","2001","27","12476","2.16"
,"2002","21","12457","1.69"
,"2003","28","12523","2.24"
,"2004","38","12634","3.01"
,"2005","32","12702","2.52"
,"2006","20","12867","1.55"
,"2007","27","13056","2.07"
,"2008","18","13142","1.37"
,"2009","12","12967","0.93"
,"2010","28","12876","2.17"
"Cannon","2001","48","12987","3.70"
,"2002","63","12961","4.86"
,"2003","91","13009","7.00"
,"2004","83","13103","6.33"
,"2005","95","13136","7.23"
,"2006","80","13266","6.03"
,"2007","80","13430","5.96"
,"2008","86","13804","6.23"
,"2009","77","13860","5.56"
,"2010","72","13801","5.22"
"Cheatham","2001","48","36551","1.31"
,"2002","89","36940","2.41"
,"2003","136","37166","3.66"
,"2004","158","37580","4.20"
,"2005","176","38037","4.63"
,"2006","178","38615","4.61"
,"2007","222","39148","5.67"
,"2008","207","39396","5.25"
,"2009","225","39876","5.64"
,"2010","165","39105","4.22"
"Clay","2001","20","7938","2.52"
,"2002","40","7945","5.03"
,"2003","102","7927","12.87"
,"2004","40","7966","5.02"
,"2005","68","7973","8.53"
,"2006","25","7997","3.13"
,"2007","57","7923","7.19"
,"2008","38","7794","4.88"
,"2009","61","7895","7.73"
,"2010","52","7861","6.61"
"Coffee","2001","219","48554","4.51"
,"2002","204","49013","4.16"
,"2003","222","49494","4.49"
,"2004","249","49930","4.99"
,"2005","333","50637","6.58"
,"2006","400","51400","7.78"
,"2007","506","51739","9.78"
,"2008","384","52134","7.37"
,"2009","473","52521","9.01"
,"2010","558","52796","10.57"
"Davidson","2001","1,794","578527","3.10"
,"2002","2,354","581978","4.04"
,"2003","3,315","588126","5.64"
,"2004","3,810","596961","6.38"
,"2005","5,151","607413","8.48"
,"2006","4,930","614609","8.02"
,"2007","5,085","621384","8.18"
,"2008","5,650","626144","9.02"
,"2009","5,198","635710","8.18"
,"2010","6,574","626681","10.49"
"DeKalb","2001","48","17533","2.74"
