"Total Arrestees by Weapon Type"
"Current date: 11/21/2011 3:10:59 PM (Central Standard Time)"
,"Measures","Number of Arrestees","Estimated Population","Arrestee Rate (per 1,000)",
"Jurisdiction","Arrest Date"
,"2002","319","5019","63.56"
,"2003","336","4916","68.35"
,"2004","225","4836","46.53"
,"2005","285","4811","59.24"
,"2006","126","4803","26.23"
,"2007","105","4791","21.92"
,"2008","72","4801","15.00"
,"2009","131","4783","27.39"
,"2010","63","5077","12.41"
"Polk","2001","491","16218","30.28"
,"2002","547","16007","34.17"
,"2003","730","15967","45.72"
,"2004","999","15777","63.32"
,"2005","841","15749","53.40"
,"2006","788","15780","49.94"
,"2007","860","15726","54.69"
,"2008","888","15671","56.67"
,"2009","927","15648","59.24"
,"2010","835","16825","49.63"
"Rhea","2001","1,748","28578","61.17"
,"2002","1,603","28829","55.60"
,"2003","1,816","29178","62.24"
,"2004","1,726","29358","58.79"
,"2005","2,003","29764","67.30"
,"2006","2,001","30249","66.15"
,"2007","2,123","30565","69.46"
,"2008","1,941","30781","63.06"
,"2009","1,777","31516","56.38"
,"2010","1,944","31809","61.11"
"Roane","2001","2,315","52044","44.48"
,"2002","2,256","52094","43.31"
,"2003","2,469","52404","47.11"
,"2004","2,661","52624","50.57"
,"2005","2,532","52556","48.18"
,"2006","2,793","53084","52.61"
,"2007","2,340","53309","43.90"
,"2008","2,545","53430","47.63"
,"2009","2,603","53508","48.65"
,"2010","2,713","54181","50.07"
"Scott","2001","1,825","21450","85.08"
,"2002","1,933","21532","89.77"
,"2003","1,832","21460","85.37"
,"2004","1,800","21546","83.54"
,"2005","1,743","21681","80.39"
,"2006","1,859","21820","85.20"
,"2007","1,606","21948","73.17"
,"2008","1,832","22039","83.13"
,"2009","2,110","21866","96.50"
,"2010","1,708","22228","76.84"
"Sevier","2001","3,349","73218","45.74"
,"2002","3,923","74398","52.73"
,"2003","3,934","75636","52.01"
,"2004","3,978","77311","51.45"
,"2005","3,714","79607","46.65"
,"2006","4,170","82075","50.81"
,"2007","4,080","83952","48.60"
,"2008","4,850","84835","57.17"
