"Total Arrestees by Weapon Type"
"Current date: 11/21/2011 3:00:46 PM (Central Standard Time)"
,"Measures","Number of Arrestees","Number of Incidents","Estimated Population","Arrestee Rate (per 1,000)",
,"Arrestee Armed With","Firearm","Firearm","Firearm","Firearm",
"Jurisdiction","Arrest Date"
,"2010","7","7","22083","0.32"
"Pickett","2001","","","4961",""
,"2002","","","5019",""
,"2003","1","1","4916","0.20"
,"2004","","","4836",""
,"2005","1","1","4811","0.21"
,"2006","","","4803",""
,"2007","","","4791",""
,"2008","2","2","4801","0.42"
,"2009","","","4783",""
,"2010","","","5077",""
"Polk","2001","5","5","16218","0.31"
,"2002","14","13","16007","0.87"
,"2003","23","23","15967","1.44"
,"2004","26","26","15777","1.65"
,"2005","17","17","15749","1.08"
,"2006","9","9","15780","0.57"
,"2007","15","15","15726","0.95"
,"2008","16","15","15671","1.02"
,"2009","15","15","15648","0.96"
,"2010","10","10","16825","0.59"
"Rhea","2001","6","6","28578","0.21"
,"2002","6","6","28829","0.21"
,"2003","14","12","29178","0.48"
,"2004","11","11","29358","0.37"
,"2005","8","8","29764","0.27"
,"2006","11","9","30249","0.36"
,"2007","6","6","30565","0.20"
,"2008","10","8","30781","0.32"
,"2009","15","15","31516","0.48"
,"2010","12","12","31809","0.38"
"Roane","2001","27","26","52044","0.52"
,"2002","19","18","52094","0.36"
,"2003","14","14","52404","0.27"
,"2004","17","15","52624","0.32"
,"2005","16","15","52556","0.30"
,"2006","19","19","53084","0.36"
,"2007","18","17","53309","0.34"
,"2008","9","9","53430","0.17"
,"2009","9","9","53508","0.17"
,"2010","3","3","54181","0.06"
"Scott","2001","19","19","21450","0.89"
,"2002","21","21","21532","0.98"
,"2003","23","23","21460","1.07"
,"2004","17","16","21546","0.79"
,"2005","22","22","21681","1.01"
,"2006","16","12","21820","0.73"
,"2007","9","9","21948","0.41"
,"2008","11","11","22039","0.50"
,"2009","15","13","21866","0.69"
,"2010","7","7","22228","0.31"
"Sevier","2001","31","27","73218","0.42"
,"2002","23","22","74398","0.31"
,"2003","18","18","75636","0.24"
,"2004","18","16","77311","0.23"
,"2005","26","24","79607","0.33"
,"2006","29","25","82075","0.35"
,"2007","22","21","83952","0.26"
,"2008","29","27","84835","0.34"
,"2009","34","34","86243","0.39"
,"2010","19","18","89889","0.21"
"Sullivan","2001","37","35","152421","0.24"
,"2002","40","37","152605","0.26"
,"2003","46","45","152392","0.30"
,"2004","48","46","151601","0.32"
,"2005","50","43","151974","0.33"
,"2006","45","42","152505","0.30"
,"2007","46","46","153500","0.30"
,"2008","41","41","153900","0.27"
,"2009","33","31","154552","0.21"
