County,Year,Labor Force,Employed,Unemployed,Unemployment Rate
Grainger,2002,"9,950","9,192",758,7.6
Grainger,2003,"9,891","9,169",722,7.3
Grainger,2004,"9,974","9,368",606,6.1
Grainger,2005,"10,171","9,563",608,6
Grainger,2006,"10,271","9,661",610,5.9
Grainger,2007,"10,080","9,528",552,5.5
Grainger,2008,"10,247","9,430",817,8
Grainger,2009,"10,113","8,703","1,410",13.9
Grainger,2010,"10,059","8,771","1,288",12.8
Greene,2001,"30,945","28,565","2,380",7.7
Greene,2002,"31,020","28,943","2,077",6.7
Greene,2003,"32,065","29,632","2,433",7.6
Greene,2004,"32,354","29,840","2,514",7.8
Greene,2005,"32,384","29,609","2,775",8.6
Greene,2006,"32,677","30,088","2,589",7.9
Greene,2007,"31,310","29,064","2,246",7.2
Greene,2008,"30,278","27,449","2,829",9.3
Greene,2009,"29,881","25,180","4,701",15.7
Greene,2010,"29,788","25,850","3,938",13.2
Grundy,2001,"5,553","5,231",322,5.8
Grundy,2002,"5,690","5,309",381,6.7
Grundy,2003,"5,803","5,439",364,6.3
Grundy,2004,"5,780","5,422",358,6.2
Grundy,2005,"5,831","5,391",440,7.5
Grundy,2006,"5,889","5,416",473,8
Grundy,2007,"5,914","5,550",364,6.2
Grundy,2008,"5,949","5,451",498,8.4
Grundy,2009,"6,012","5,169",843,14
Grundy,2010,"5,984","5,260",724,12.1
Hamblen,2001,"29,956","28,144","1,812",6
Hamblen,2002,"29,399","27,642","1,757",6
Hamblen,2003,"29,131","27,327","1,804",6.2
Hamblen,2004,"29,349","27,723","1,626",5.5
Hamblen,2005,"29,782","28,041","1,741",5.8
Hamblen,2006,"30,402","28,645","1,757",5.8
Hamblen,2007,"29,979","28,504","1,475",4.9
Hamblen,2008,"30,304","28,147","2,157",7.1
Hamblen,2009,"29,955","26,180","3,775",12.6
Hamblen,2010,"29,586","26,386","3,200",10.8
Hamilton,2001,"158,955","153,102","5,853",3.7
Hamilton,2002,"157,992","151,059","6,933",4.4
Hamilton,2003,"157,294","150,112","7,182",4.6
Hamilton,2004,"157,092","149,921","7,171",4.6
Hamilton,2005,"158,655","151,133","7,522",4.7
Hamilton,2006,"162,382","155,182","7,200",4.4
Hamilton,2007,"166,411","159,560","6,851",4.1
Hamilton,2008,"167,968","158,396","9,572",5.7
Hamilton,2009,"164,177","149,484","14,693",8.9
Hamilton,2010,"165,563","151,581","13,982",8.4
Hancock,2001,"2,559","2,374",185,7.2
Hancock,2002,"2,582","2,379",203,7.9
Hancock,2003,"2,640","2,456",184,7
Hancock,2004,"2,437","2,197",240,9.8
Hancock,2005,"2,429","2,209",220,9.1
Hancock,2006,"2,481","2,308",173,7
Hancock,2007,"2,433","2,290",143,5.9
Hancock,2008,"2,562","2,350",212,8.3
Hancock,2009,"2,663","2,271",392,14.7
Hancock,2010,"2,623","2,220",403,15.4
Hardeman,2001,"11,022","10,231",791,7.2
Hardeman,2002,"11,176","10,327",849,7.6
Hardeman,2003,"11,333","10,418",915,8.1
Hardeman,2004,"11,233","10,311",922,8.2
Hardeman,2005,"11,178","10,218",960,8.6
Hardeman,2006,"11,399","10,577",822,7.2
Hardeman,2007,"11,496","10,715",781,6.8
Hardeman,2008,"11,586","10,587",999,8.6
Hardeman,2009,"11,323","9,897","1,426",12.6
Hardeman,2010,"11,038","9,574","1,464",13.3
Hardin,2001,"11,486","10,746",740,6.4
Hardin,2002,"11,546","10,669",877,7.6
Hardin,2003,"11,639","10,555","1,084",9.3
Hardin,2004,"11,391","10,526",865,7.6
Hardin,2005,"11,321","10,493",828,7.3
Hardin,2006,"11,718","10,990",728,6.2
Hardin,2007,"11,854","11,181",673,5.7
Hardin,2008,"11,898","10,988",910,7.6
Hardin,2009,"11,859","10,388","1,471",12.4
Hardin,2010,"12,055","10,671","1,384",11.5
Hawkins,2001,"25,130","23,788","1,342",5.3
Hawkins,2002,"25,109","23,658","1,451",5.8
Hawkins,2003,"25,667","23,947","1,720",6.7
Hawkins,2004,"25,288","23,731","1,557",6.2
Hawkins,2005,"25,674","24,080","1,594",6.2
Hawkins,2006,"26,386","24,866","1,520",5.8
Hawkins,2007,"26,040","24,797","1,243",4.8
Hawkins,2008,"26,990","25,178","1,812",6.7
Hawkins,2009,"27,476","24,396","3,080",11.2
Hawkins,2010,"26,944","24,429","2,515",9.3
Haywood,2001,"9,377","8,682",695,7.4
Haywood,2002,"9,536","8,752",784,8.2
Haywood,2003,"9,602","8,699",903,9.4
Haywood,2004,"9,393","8,584",809,8.6
Haywood,2005,"9,234","8,465",769,8.3
Haywood,2006,"9,700","8,963",737,7.6
Haywood,2007,"9,783","9,074",709,7.2
Haywood,2008,"9,492","8,493",999,10.5
Haywood,2009,"9,291","7,819","1,472",15.8
Haywood,2010,"9,246","7,839","1,407",15.2
Henderson,2001,"12,576","11,698",878,7
Henderson,2002,"12,602","11,573","1,029",8.2
Henderson,2003,"13,022","11,969","1,053",8.1
Henderson,2004,"13,304","12,384",920,6.9
Henderson,2005,"12,779","11,828",951,7.4
Henderson,2006,"12,339","11,508",831,6.7
Henderson,2007,"12,008","11,202",806,6.7
Henderson,2008,"12,098","10,858","1,240",10.2
Henderson,2009,"12,044","9,879","2,165",18
Henderson,2010,"11,743","9,897","1,846",15.7
Henry,2001,"14,690","13,782",908,6.2
Henry,2002,"14,590","13,612",978,6.7
Henry,2003,"14,485","13,260","1,225",8.5
Henry,2004,"14,326","13,165","1,161",8.1
Henry,2005,"14,209","13,141","1,068",7.5
Henry,2006,"14,219","13,201","1,018",7.2
Henry,2007,"13,985","13,083",902,6.4
Henry,2008,"13,929","12,712","1,217",8.7
Henry,2009,"13,664","11,850","1,814",13.3
Henry,2010,"13,710","12,061","1,649",12
Hickman,2001,"9,886","9,375",511,5.2
Hickman,2002,"9,973","9,371",602,6
Hickman,2003,"9,972","9,370",602,6
Hickman,2004,"10,146","9,518",628,6.2
Hickman,2005,"10,252","9,616",636,6.2
Hickman,2006,"10,276","9,717",559,5.4
Hickman,2007,"9,971","9,409",562,5.6
Hickman,2008,"10,148","9,292",856,8.4
Hickman,2009,"10,084","8,782","1,302",12.9
Hickman,2010,"10,132","8,943","1,189",11.7
Houston,2001,"3,631","3,368",263,7.2
Houston,2002,"3,691","3,417",274,7.4
Houston,2003,"3,710","3,424",286,7.7
Houston,2004,"3,780","3,485",295,7.8
Houston,2005,"3,812","3,488",324,8.5
Houston,2006,"3,892","3,604",288,7.4
Houston,2007,"3,864","3,646",218,5.6
