"Personal income","FIPS","AreaName","2001","2002","2003","2004","2005","2006","2007","2008","2009" 
"1","17420","Cleveland, TN",2570350 ,2600718 ,2726003 ,2892279 ,2995831 ,3109770 ,3287543 ,3423153 ,3393859 
"1","27180","Jackson, TN",2755256 ,2857977 ,2978985 ,3110342 ,3233408 ,3371725 ,3561126 ,3703067 ,3644969 
"1","27740","Johnson City, TN",4233795 ,4362043 ,4516630 ,4848754 ,5049084 ,5395759 ,5786569 ,6108437 ,6075067 
"1","28700","Kingsport-Bristol-Bristol, TN-VA",7285945 ,7465593 ,7688025 ,7962050 ,8191156 ,8781490 ,9290227 ,9765425 ,9709775 
"1","28940","Knoxville, TN",17598414 ,18141388 ,18795509 ,19710991 ,20627745 ,22118629 ,23310370 ,24131642 ,23712864 
"1","32820","Memphis, TN-MS-AR",37668033 ,38823782 ,40155930 ,42266762 ,44057365 ,46737394 ,48992950 ,50221968 ,49095310 
"1","34100","Morristown, TN",2865376 ,2914133 ,3035047 ,3147409 ,3231366 ,3417918 ,3614832 ,3788059 ,3792479 
"1","34980","Nashville-Davidson-Murfreesboro-Franklin, TN",42776516 ,44339756 ,46253722 ,49384212 ,52293772 ,56844717 ,60267751 ,62638086 ,61164279 
"1","11940","Athens, TN",1066755 ,1090675 ,1150182 ,1200669 ,1269324 ,1330700 ,1403970 ,1420513 ,1412744 
"1","15140","Brownsville, TN",407951 ,399008 ,426077 ,442231 ,463324 ,489715 ,501208 ,531334 ,579257 
"1","17940","Columbia, TN",1858261 ,1965714 ,2095985 ,2096476 ,2123827 ,2254733 ,2309635 ,2446576 ,2395430 
"1","18260","Cookeville, TN",2120315 ,2193803 ,2301388 ,2402063 ,2498350 ,2619890 ,2817428 ,2951069 ,2967255 
"1","18900","Crossville, TN",1063740 ,1077318 ,1136389 ,1194281 ,1271985 ,1386305 ,1495465 ,1565952 ,1558031 
"1","20540","Dyersburg, TN",909345 ,902248 ,950672 ,1008456 ,1040134 ,1078248 ,1145281 ,1198773 ,1174804 
"1","24620","Greeneville, TN",1491052 ,1562504 ,1725194 ,1855254 ,1923166 ,1958379 ,2077485 ,2183618 ,2086274 
"1","25340","Harriman, TN",1189657 ,1252805 ,1315164 ,1402651 ,1484501 ,1567646 ,1671069 ,1757379 ,1766578 
"1","26480","Humboldt, TN",1111374 ,1127409 ,1207813 ,1227979 ,1256547 ,1293918 ,1359481 ,1407544 ,1414275 
"1","29220","La Follette, TN",811089 ,821587 ,854176 ,910037 ,961520 ,971490 ,1037410 ,1078796 ,1072346 
"1","29980","Lawrenceburg, TN",847219 ,868607 ,918239 ,924361 ,935105 ,936797 ,970365 ,1023453 ,1028617 
"1","30280","Lewisburg, TN",672096 ,694107 ,680716 ,698336 ,708875 ,728687 ,757993 ,791040 ,766039 
"1","32280","Martin, TN",747458 ,747119 ,772749 ,811526 ,861858 ,871619 ,912487 ,951363 ,970255 
"1","32660","McMinnville, TN",789717 ,802007 ,843119 ,892492 ,928023 ,969243 ,1001329 ,1054543 ,1041998 
